,titles,similar
2201,Man on a Ledge,"['15 Minutes', 'Batman', 'Dead Man Down', 'Hackers', 'Pain & Gain', 'RockNRolla', 'The Negotiator', 'Trash']"
2202,Man on Fire,"['Sicario', 'The Way of the Gun']"
2203,Man on the Moon,"['Aladdin', 'Annie Hall', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Man of the Year', 'Så som i himmelen', 'Summer Catch']"
2204,Man on Wire,['Trash']
2205,Mandela: Long Walk to Freedom,"['Invictus', 'Malcolm X']"
2207,Maniac,"['Cabin Fever', 'Green Room', 'The Texas Chainsaw Massacre: The Beginning']"
2209,Mao's Last Dancer,"['Once', 'Så som i himmelen']"
2210,Mar adentro,['Så som i himmelen']
2211,March or Die,"['Agora', 'Alexander', 'Baahubali: The Beginning', 'Das Boot', 'Flyboys', 'G.I. Jane', 'Green Zone', 'Joan of Arc', 'Kingdom of Heaven', 'Lawrence of Arabia', 'Lions for Lambs', 'Red Tails', 'Southland Tales', 'The Edge', 'Trash']"
2213,Margaret,"['Disturbing Behavior', 'Frequency', 'Notes on a Scandal']"
2214,Margin Call,['Trash']
2215,"María, llena eres de gracia","['Dancer in the Dark', 'Frequency']"
2217,Marley & Me,"['Diary of a Wimpy Kid', 'Hotel for Dogs']"
2219,Married Life,['Sex Drive']
2220,Mars Attacks!,['Batman']
2221,Mars Needs Moms,"['Aladdin', 'Aliens in the Attic', 'Cars 2', 'Escape from Planet Earth', 'Mr. Peabody & Sherman', 'Planet 51', 'The Smurfs', 'Treasure Planet']"
2222,Martha Marcy May Marlene,['Trash']
2226,Mary Poppins,['Aladdin']
2227,Mary Reilly,['May']
2228,Masked and Anonymous,['Across the Universe']
2230,Match Point,['Cruel Intentions']
2231,Maurice,"['A Home at the End of the World', 'Beginners', 'High School Musical 3: Senior Year', 'Latter Days', 'Mambo Italiano', 'My Own Private Idaho', 'Saved!', 'Sommersturm', 'Weekend', 'Y tu mamá también']"
2233,Max,"['127 Hours', 'Agora', 'Aladdin', 'Batman', 'Benji', 'Frozen', 'Hook', 'Lawrence of Arabia', 'Lions for Lambs', 'Pocahontas', 'The Curse of the Were-Rabbit', 'Trash', 'White Fang']"
2234,Max Keeble's Big Move,['Batman']
2236,Maximum Risk,"['Batman', 'Mission: Impossible II', 'Rambo: First Blood Part II', 'The Matrix Reloaded']"
2237,May,"['Class of 1984', 'Deadfall', 'Frequency', 'Mary Reilly', 'The Curse of Downers Grove', 'The Last House on the Left', 'The Roommate']"
2238,Maze Runner: The Scorch Trials,['The Maze Runner']
2240,Me and Orson Welles,['Lage Raho Munna Bhai']
2241,Me and You and Everyone We Know,"['200 Cigarettes', 'American Splendor', 'Bottle Rocket', 'Enough Said', ""It's Kind of a Funny Story"", ""Jesus' Son"", 'Please Give', 'Real Women Have Curves', 'The Runaways', 'Walking and Talking']"
2242,Me Before You,"[""Boys Don't Cry"", ""Bridget Jones's Diary"", 'Enough Said', 'Frida', 'Silver Linings Playbook', 'Snow Angels', 'The Bridge of San Luis Rey', 'The Longest Ride', 'Under the Tuscan Sun', 'Yentl']"
2243,Me You and Five Bucks,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Summer Catch']"
2244,"Me, Myself & Irene","['Aladdin', 'Nanny McPhee and the Big Bang', 'The Croods']"
2245,Mean Creek,"['La grande bellezza', 'Outside Providence', 'Party Monster']"
2246,Mean Girls,"['Dazed and Confused', 'High School Musical', 'High School Musical 3: Senior Year', 'I Love You, Beth Cooper', 'The DUFF']"
2247,Mean Machine,"['Summer Catch', 'The Longest Yard']"
2248,Mean Streets,['Dom Hemingway']
2249,Médecin de campagne,['Patch Adams']
2251,Meek's Cutoff,['Pocahontas']
2252,Meet Dave,"['Aliens in the Attic', 'Planet 51', 'Treasure Planet']"
2254,Meet the Deedles,"['Aladdin', 'Batman', 'Inside Out']"
2255,Meet the Fockers,['My Big Fat Greek Wedding']
2256,Meet the Parents,"['Aladdin', 'Click', 'Everyone Says I Love You', 'My Big Fat Greek Wedding', 'Shooting Fish']"
2257,Meet the Spartans,"[""Mr. Popper's Penguins""]"
2258,Megaforce,['Batman']
2259,Megamind,['Batman']
2260,Megiddo: The Omega Code 2,"['Batman', 'Doomsday', 'Repo Men']"
2262,Memento,['Before I Go to Sleep']
2263,Memoirs of a Geisha,"['Flammen & Citronen', 'The Best Years of Our Lives', 'Tora! Tora! Tora!']"
2264,Memoirs of an Invisible Man,['Batman']
2265,Men in Black,['Men in Black II']
2266,Men in Black 3,"['Aliens in the Attic', 'Batman', 'Hot Tub Time Machine', 'Men in Black', 'Men in Black II', 'Timecop']"
2267,Men in Black II,['Men in Black']
2269,Men of War,['The Expendables']
2271,Menace II Society,['Dark Blue']
2272,Mercury Rising,"['Collateral', 'Sicario']"
2273,Mercy Streets,['Batman']
2276,Metegol,['Aladdin']
2277,Meteor,"['Cloverfield', 'Timecop']"
2278,Metropolis,['The Matrix Revolutions']
2279,Metropolitan,"['Deconstructing Harry', 'Just Looking', 'Party Monster', 'Please Give']"
2281,Michael Clayton,['Zodiac']
2283,Michael Jackson's This Is It,['Alvin and the Chipmunks']
2285,Mickey Blue Eyes,"['Get Shorty', 'Sweet Home Alabama', 'You Kill Me']"
2286,Micmacs à tire-larigot,['Batman']
2290,Midnight in Paris,"[""The Time Traveler's Wife""]"
2291,Midnight in the Garden of Good and Evil,"['L.A. Confidential', 'Trash']"
2292,Midnight Run,"['Aladdin', 'Batman', 'Home Alone 2: Lost in New York', 'Trash']"
2293,Midnight Special,"['The Astronaut Farmer', 'Trash']"
2295,Mighty Joe Young,['Batman']
2296,Milk,"['Kinsey', 'Thank You for Smoking', 'The Imitation Game']"
2297,Million Dollar Arm,['Summer Catch']
2298,Million Dollar Baby,['Cinderella Man']
2299,Mindhunters,['Se7en']
2300,Mine vaganti,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Summer Catch']"
2301,Minions,['Aladdin']
2302,Minority Report,['Looper']
2303,Miracle,"['Eddie the Eagle', 'Flags of Our Fathers', 'Invictus', 'Made in Dagenham']"
2304,Miracle at St. Anna,"[""Hart's War""]"
2306,Mirror Mirror,"['Aliens in the Attic', 'The Smurfs']"
2307,Mirrormask,['Aladdin']
2308,Mirrors,['Dressed to Kill']
2310,Miss Congeniality,['Batman']
2313,Miss March,['Sex Drive']
2314,Miss Potter,"['Aladdin', 'Pocahontas']"
2315,Mission to Mars,['Alien³']
2316,Mission: Impossible,['Mission: Impossible II']
2317,Mission: Impossible - Ghost Protocol,"['DOA: Dead or Alive', 'Mission: Impossible - Rogue Nation', 'The Hunger Games: Catching Fire', 'The Matrix Revolutions']"
2318,Mission: Impossible - Rogue Nation,['The Living Daylights']
2319,Mission: Impossible II,['Mission: Impossible']
2320,Mission: Impossible III,['Mission: Impossible II']
2321,Mo' Better Blues,"['Aladdin', 'High School Musical 3: Senior Year', 'Moulin Rouge!']"
2325,Molière,"['Aladdin', 'Griff the Invisible', 'Sliding Doors', 'Solitary Man']"
2326,Molly,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Summer Catch']"
2328,Moms' Night Out,['This Is 40']
2331,Money Talks,"['30 Minutes or Less', 'Aladdin', 'Batman', 'Mystery Men', 'The Adventures of Rocky & Bullwinkle']"
2332,Money Train,['Batman']
2333,Moneyball,['Summer Catch']
2334,Monkeybone,"['Aladdin', 'Brave', 'The Croods']"
2335,Monsoon Wedding,"['Bride & Prejudice', 'Enough Said', 'Lage Raho Munna Bhai', 'The Mirror Has Two Faces']"
2336,Monster,"[""Brooklyn's Finest""]"
2337,Monster House,"['Aladdin', 'Alvin and the Chipmunks', 'Batman', 'Ratatouille']"
2338,Monster's Ball,"['All the Real Girls', 'Bella', 'Gone with the Wind', 'My Big Fat Greek Wedding', 'Transamerica']"
2340,Monsters,"['Signs', 'Titan A.E.']"
2341,Monsters University,['Aladdin']
2342,Monsters vs Aliens,"['Batman', 'The Croods', 'Titan A.E.', 'Up']"
2343,"Monsters, Inc.","['Aladdin', 'Batman', 'Cars 2', 'Chicken Little', 'Inside Out', 'Monsters University', 'Spirit: Stallion of the Cimarron', 'Toy Story']"
2344,Monte Carlo,['Aladdin']
2345,Monty Python and the Holy Grail,"['Aladdin', 'First Knight', 'Hook']"
2346,Moon,"['2001: A Space Odyssey', 'Autómata', 'Blade Runner', 'Children of Men', 'Code 46', 'Frequency', 'I, Robot', 'Interstellar', 'Metropolis', 'Never Let Me Go', 'Renaissance', 'Terminator Genisys', 'The Island', 'The Matrix Reloaded', 'The Matrix Revolutions', 'Titan A.E.']"
2348,Moonraker,['Planet of the Apes']
2349,Moonrise Kingdom,['High School Musical 3: Senior Year']
2351,Morning Glory,"['Aladdin', 'Griff the Invisible', 'Sliding Doors', 'Solitary Man']"
2352,Mortal Kombat,['DOA: Dead or Alive']
2353,Mortal Kombat: Annihilation,"['Æon Flux', 'Avatar', 'Batman', 'Final Fantasy: The Spirits Within', 'Jimmy Neutron: Boy Genius', 'Mortal Kombat', 'Mystery Men', 'Pokémon 3: The Movie', 'Resident Evil: Retribution', 'Sheena', 'Underworld: Rise of the Lycans']"
2354,Mortdecai,['Aladdin']
2355,Morvern Callar,['The Runaways']
2357,Motherhood,['Enough Said']
2358,Moulin Rouge!,['High School Musical 3: Senior Year']
2360,Mr. & Mrs. Smith,['Hitman']
2361,Mr. 3000,['Summer Catch']
2362,Mr. Bean's Holiday,['Aladdin']
2364,Mr. Deeds,['Aladdin']
2365,Mr. Holland's Opus,"['High School Musical', 'High School Musical 3: Senior Year']"
2366,Mr. Peabody & Sherman,"['Alvin and the Chipmunks', 'The Lego Movie']"
2367,Mr. Popper's Penguins,['Date Night']
2368,Mr. Smith Goes to Washington,['Blazing Saddles']
2370,Mrs Henderson Presents,"['Aladdin', 'High School Musical', 'High School Musical 3: Senior Year', 'Tea with Mussolini']"
2371,Mrs. Doubtfire,['My Big Fat Greek Wedding']
2372,Mrs. Winterbourne,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Maid in Manhattan', 'Så som i himmelen', 'Summer Catch']"
2373,Much Ado About Nothing,"['Aladdin', 'Boys and Girls', 'Click', 'Everyone Says I Love You', 'Griff the Invisible', ""My Best Friend's Wedding"", 'Sliding Doors', 'Solitary Man', 'Something Borrowed', 'The American President', 'The Story of Us']"
2375,Mulan,['Aladdin']
2376,Mulholland Drive,"['Enemy of the State', 'Spellbound']"
2377,Multiplicity,['Batman']
2378,Mumford,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Summer Catch']"
2379,Munich,"['Der Baader Meinhof Komplex', 'Killing Zoe', 'Zero Dark Thirty']"
2380,Muppets from Space,['Batman']
2381,Muppets Most Wanted,['Aladdin']
2382,Murder by Numbers,"['Class of 1984', 'Deadfall', 'El secreto de sus ojos', 'Frequency']"
2384,Music and Lyrics,"['27 Dresses', 'Corpse Bride', 'Hairspray', 'Johnny Suede', 'Once', 'Pitch Perfect', 'The Ugly Truth', 'Walk Hard: The Dewey Cox Story']"
2385,Must Love Dogs,['Enough Said']
2387,Mutual Appreciation,"['200 Cigarettes', 'Aladdin', 'Boynton Beach Club', 'Chasing Amy', 'Crazy Heart', 'Enough Said', 'Everything Must Go', 'Full Frontal', 'Griff the Invisible', 'High School Musical 3: Senior Year', ""Jesus' Son"", 'Just Looking', 'Lage Raho Munna Bhai', 'Love Jones', 'Mystic Pizza', 'Next Stop Wonderland', 'Outside Providence', 'Quartet', 'Så som i himmelen', 'Summer Catch', 'The Brothers', 'The Open Road', 'The Rules of Attraction', 'The Wendell Baker Story', 'Walking and Talking', ""Your Sister's Sister""]"
2388,My All American,['Unbroken']
2390,My Beautiful Laundrette,"['Bend It Like Beckham', 'Griff the Invisible']"
2391,My Best Friend's Girl,"['27 Dresses', 'A Guy Thing', 'Date Night', 'Good Luck Chuck', 'Johnny Suede', 'Leap Year', 'Married Life', 'Miss March', ""Porky's"", 'Sex Drive', 'That Awkward Moment', 'The Guru']"
2392,My Best Friend's Wedding,"['Down to You', 'Four Weddings and a Funeral', 'Kate & Leopold']"
2393,My Big Fat Greek Wedding,"['Aladdin', 'High School Musical 3: Senior Year', 'Meet the Fockers', 'Mrs. Doubtfire']"
2394,My Big Fat Greek Wedding 2,['Aladdin']
2396,My Bloody Valentine,"['One Missed Call', 'Scream 4', 'The Curse of Downers Grove']"
2401,My Dog Skip,"['Aladdin', 'Batman', 'High School Musical', 'High School Musical 3: Senior Year', 'Red Dog', 'The Curse of the Were-Rabbit', 'The Shaggy Dog']"
2402,My Dog Tulip,"['Aladdin', 'Inside Out', 'Les triplettes de Belleville', 'Shark Tale', 'The Curse of the Were-Rabbit']"
2403,My Fair Lady,['High School Musical 3: Senior Year']
2404,My Favorite Martian,['Batman']
2405,My Fellow Americans,['Primary Colors']
2406,My Girl,"['Aladdin', 'Batman', 'High School Musical 2', 'Inside Out', 'La Famille Bélier', 'The Pacifier']"
2407,My Last Day Without You,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Summer Catch']"
2409,My Life Without Me,"[""Bridget Jones's Diary"", 'Enough Said', 'Så som i himmelen']"
2411,My Name Is Khan,['Lage Raho Munna Bhai']
2412,My Own Private Idaho,['Transamerica']
2414,My Soul to Take,"['I Know What You Did Last Summer', 'Sorority Row']"
2416,My Summer of Love,"['Summer of Sam', 'Trash']"
2417,My Super Ex-Girlfriend,['Batman']
2419,Mystery Men,"['Teenage Mutant Ninja Turtles', 'The Shadow']"
2421,Mystic Pizza,"['200 Cigarettes', 'Aladdin', 'Boynton Beach Club', 'Chasing Amy', 'Enough Said', 'Everything Must Go', 'Full Frontal', 'Griff the Invisible', 'High School Musical 3: Senior Year', ""Jesus' Son"", 'Just Looking', 'Lage Raho Munna Bhai', 'Love Jones', 'Mutual Appreciation', 'Next Stop Wonderland', 'Outside Providence', 'Så som i himmelen', 'Summer Catch', 'The Brothers', 'The Open Road', 'The Rules of Attraction', 'The Wendell Baker Story', 'Walking and Talking']"
2422,Mystic River,['Sleepers']
2423,N-Secure,"['Collateral', 'Deadfall', 'Frequency', 'Trash']"
2426,Nancy Drew,"['Frequency', 'The Fugitive']"
2428,Nanny McPhee,['Batman']
2429,Nanny McPhee and the Big Bang,"['Aladdin', 'Red Riding Hood', 'The Croods']"
2430,Napoleon Dynamite,"[""Losin' It"", 'Not Another Teen Movie', 'The Princess Diaries']"
2431,Narc,['Trash']
2433,National Lampoon's Vacation,"['Aladdin', 'Batman', 'High School Musical 3: Senior Year', 'The Croods', 'Up']"
2434,National Lampoon’s Van Wilder,"[""Losin' It"", 'Pitch Perfect', ""Porky's"", 'Q']"
2435,National Treasure,['Lara Croft Tomb Raider: The Cradle of Life']
2438,Neal 'n' Nikki,['Aladdin']
2439,Nebraska,['Trash']
2440,Need for Speed,"['Pain & Gain', 'The Fast and the Furious', 'Trash']"
2441,Neighbors,['Bad Moms']
2442,Neighbors 2: Sorority Rising,"['Aladdin', 'Batman', 'Cars 2', 'Neighbors', 'The House Bunny']"
2443,Nerve,['Nancy Drew']
2444,Network,"['Changeling', 'Savage Grace']"
2445,Never Again,['The Ugly Truth']
2446,Never Back Down,"['Super', 'The Blood of Heroes', 'The Green Hornet', 'The Skeleton Key']"
2448,Never Let Me Go,"['Code 46', 'Moon', 'The Host']"
2449,Never Say Never Again,['Thunderball']
2451,New Nightmare,"['A Nightmare on Elm Street 4: The Dream Master', ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""Freddy's Dead: The Final Nightmare""]"
2454,New York Stories,['(500) Days of Summer']
2455,"New York, New York",['Across the Universe']
2457,Next Day Air,"['21 Jump Street', '22 Jump Street', 'Batman', 'Big Mommas: Like Father, Like Son', 'Cop Out', 'Jackass 3D', 'Rush Hour 2', 'The Blues Brothers', 'The Other Guys']"
2458,Next Friday,['Training Day']
2459,Next Stop Wonderland,"['200 Cigarettes', 'Aladdin', 'Boynton Beach Club', 'Chasing Amy', 'Enough Said', 'Everything Must Go', 'Full Frontal', 'Griff the Invisible', 'High School Musical 3: Senior Year', ""Jesus' Son"", 'Just Looking', 'Lage Raho Munna Bhai', 'Love Jones', 'Mutual Appreciation', 'Mystic Pizza', 'Outside Providence', 'Så som i himmelen', 'Summer Catch', 'The Brothers', 'The Open Road', 'The Rules of Attraction', 'The Wendell Baker Story', 'Walking and Talking']"
2460,Niagara,"['L.A. Confidential', 'Trash']"
2461,Nicholas Nickleby,"['12 Rounds', 'Aladdin', 'Batman', 'Pocahontas', 'The Adventures of Rocky & Bullwinkle', 'The Pacifier', 'Trash', 'White Fang']"
2462,Nick and Norah's Infinite Playlist,"['Hairspray', 'High School Musical 3: Senior Year', 'Pitch Perfect', 'Raise Your Voice', 'Så som i himmelen', 'The DUFF', 'The Princess Diaries']"
2463,Night at the Museum,['Night at the Museum: Battle of the Smithsonian']
2464,Night at the Museum: Battle of the Smithsonian,['Night at the Museum']
2465,Night at the Museum: Secret of the Tomb,"['Aladdin', 'Night at the Museum', 'Night at the Museum: Battle of the Smithsonian']"
2467,Nightcrawler,"['Collateral', 'Deadfall', 'Drive', 'Frequency', 'No Good Deed', 'Trash']"
2468,Nighthawks,"['Timecop', 'Trash']"
2469,Nim's Island,"['Aladdin', 'Hook']"
2470,Nine,['Across the Universe']
2472,Nine Dead,"['Funny Games', 'Layer Cake', 'The Negotiator', 'The Silence of the Lambs', 'Trash']"
2473,Ninja Assassin,"['Crank', 'The Equalizer']"
2474,Nirgendwo in Afrika,['Unbroken']
2475,Nixon,"['J. Edgar', 'JFK', 'Malcolm X', 'Mandela: Long Walk to Freedom', 'Wag the Dog']"
2476,No Country for Old Men,"['Layer Cake', 'Trash']"
2479,No Good Deed,"['Collateral', 'Halloween']"
2480,No Man's Land: The Rise of Reeker,"['Frailty', 'Halloween 4: The Return of Michael Myers', 'Shutter', 'The Collection']"
2481,No Reservations,['Ratatouille']
2483,No Strings Attached,"['Blonde Ambition', 'Bridesmaids', 'Pitch Perfect', 'Zack and Miri Make a Porno']"
2484,Noah,"['Exodus: Gods and Kings', 'Trash']"
2486,Non-Stop,['Whiteout']
2487,North Country,"[""Boys Don't Cry"", 'High Crimes']"
2488,Northfork,['Batman']
2489,Not Another Teen Movie,['Napoleon Dynamite']
2490,Not Cool,['Sex Drive']
2492,Notes on a Scandal,"['The Boy Next Door', ""The Time Traveler's Wife""]"
2493,Nothing,['Batman']
2495,Nothing to Lose,"['30 Minutes or Less', 'Aladdin', 'Big Hero 6', 'The Adventures of Rocky & Bullwinkle']"
2496,Notting Hill,"['About a Boy', ""Bridget Jones's Diary"", 'Love Actually']"
2497,November,"['A Mighty Heart', 'Arlington Road', 'Captive', 'Clay Pigeons', 'Dark Blue', 'L.A. Confidential', 'Mulholland Drive', 'Secret Window', 'Sphinx', 'The Dead Girl', ""The General's Daughter"", 'The Good German', 'The Life of David Gale', 'The Negotiator', 'The Pledge', 'The Spanish Prisoner', 'Trash', 'Wonderland', 'Young Sherlock Holmes']"
2498,Novocaine,['Get Shorty']
2499,Now Is Good,['The Fault in Our Stars']
2500,Now You See Me,['Frequency']
2501,Now You See Me 2,"['Run All Night', 'The Fugitive', 'The Replacement Killers']"
2502,Nowhere Boy,"['Country Strong', 'High School Musical', 'High School Musical 3: Senior Year', 'Unbroken']"
2503,Nowhere to Run,['Rambo: First Blood Part II']
2504,Nueve Reinas,"['Collateral', 'Deadfall', 'Party Monster', 'The Way of the Gun']"
2506,Nurse Betty,"['Get Shorty', 'Repo Man', 'Very Bad Things']"
2507,Nutty Professor II: The Klumps,"['Aladdin', 'Aliens in the Attic']"
2508,O,['Sex Drive']
2509,"O Brother, Where Art Thou?",['Aladdin']
2510,Obitaemyy Ostrov,"['Alien', 'Batman']"
2511,Oblivion,['Titan A.E.']
2512,Observe and Report,"['Batman', 'Bottle Rocket', 'Dancer in the Dark', 'Dom Hemingway']"
2515,Ocean's Eleven,"['Owning Mahowny', 'Trash']"
2516,Ocean's Thirteen,"['Now You See Me', 'Reservoir Dogs']"
2517,Ocean's Twelve,['Trash']
2518,Oceans,"['Happy Feet', 'The SpongeBob Movie: Sponge Out of Water']"
2520,Octopussy,"['For Your Eyes Only', 'The Spy Who Loved Me']"
2522,Office Space,"['Batman', 'Big Mommas: Like Father, Like Son']"
2523,Old Dogs,"['Cars 2', 'Diary of a Wimpy Kid: Dog Days', 'Inside Out']"
2526,Oliver Twist,"['American Gangster', 'August Rush', 'Batman', 'Deadfall', 'Mystic River', 'Sleepers', 'The Blues Brothers', 'The Outsiders']"
2527,Oliver!,"['High School Musical', 'High School Musical 3: Senior Year', ""Mr. Holland's Opus""]"
2530,On Her Majesty's Secret Service,['You Only Live Twice']
2532,On the Line,"['Aladdin', 'Hairspray']"
2534,On the Road,['Crossroads']
2535,On the Waterfront,"['A Time to Kill', 'Dancer in the Dark', 'Deadfall', 'Frequency', 'La chambre bleue', 'Sea of Love', 'The Conspirator']"
2536,Once,"['August Rush', 'High Fidelity', ""I'm Not There."", 'Walk Hard: The Dewey Cox Story']"
2538,Once Upon a Time in America,"['Absolute Power', 'Sleepers', 'Volver', 'Wild Things']"
2541,One Day,['Going the Distance']
2542,One Direction: This Is Us,"[""Michael Jackson's This Is It"", 'Shine a Light']"
2544,One for the Money,"['Aladdin', 'Bandits', 'Batman', 'Beverly Hills Cop III', 'Enough Said', 'Hot Pursuit', 'Inherent Vice', 'Lucky Numbers', 'The Blues Brothers']"
2545,One Hour Photo,['Body Double']
2546,One Man's Hero,['Henry V']
2547,One Missed Call,['Transsiberian']
2550,Ong Bak 2,"['Jurassic World', 'Mad Max 2', 'Mission: Impossible - Ghost Protocol', 'Mission: Impossible - Rogue Nation', 'Now You See Me 2', 'Predators', 'RoboCop 3', 'Terminator Genisys', 'The Expendables 3', 'Trash']"
2551,Only God Forgives,['Trash']
2553,Oorlogswinter,"['Der Untergang', 'Flags of Our Fathers', 'Flammen & Citronen', 'Fury', 'Gods and Generals', 'Henry V', ""Schindler's List"", 'The Imitation Game', 'The Monuments Men', 'The Railway Man', 'Unbroken', 'Valkyrie', 'Windtalkers', 'Zwartboek']"
2554,Opal Dream,['Inside Out']
2556,Open Road,"['3 Days to Kill', ""Brooklyn's Finest"", 'Collateral', 'Hitman', 'Jimmy and Judy', 'Lone Survivor', 'Street Kings', 'The Replacement Killers', 'Training Day']"
2557,Open Season,['Aladdin']
2558,Open Secret,"['L.A. Confidential', 'Trash']"
2563,Orgazmo,"['Batman', 'Fish Tank', 'Josie and the Pussycats', 'Seven Psychopaths', 'The Guru', 'Very Bad Things']"
2564,Original Sin,"['Cruel Intentions', 'El secreto de sus ojos', 'Irréversible', 'Married Life', 'O', 'The End of the Affair', 'The Order', 'The Quiet American', 'The Red Violin', 'Vanilla Sky', 'Where the Truth Lies', 'Wicker Park']"
2565,Orphan,"['2:13', 'Red Riding Hood', 'Silent Hill: Revelation 3D', 'Texas Chainsaw 3D']"
2567,Oscar and Lucinda,"['Enough Said', 'Loving Annabelle', 'Yentl']"
2568,Osmosis Jones,"['Batman', 'The Adventures of Rocky & Bullwinkle']"
2572,Our Idiot Brother,['High School Musical 3: Senior Year']
2575,Out of Africa,['Dancer in the Dark']
2576,Out of Sight,"['Aladdin', 'Batman']"
2577,Out of the Blue,"['La Famille Bélier', 'The Runaways']"
2579,Out of the Furnace,['The Limey']
2580,Out of Time,['Trash']
2581,Outbreak,"['Dawn of the Planet of the Apes', 'Rise of the Planet of the Apes']"
2583,Outside Providence,['Summer Catch']
2585,Over the Hedge,"['Aladdin', 'Alvin and the Chipmunks', 'Batman', 'Chicken Little', 'Dr. Dolittle 2', 'Inside Out', 'The Curse of the Were-Rabbit', 'The Simpsons Movie']"
2586,Owning Mahowny,"['Get Shorty', 'Trash']"
2587,Oz: The Great and Powerful,['Aladdin']
2588,P.S. I Love You,['Love in the Time of Cholera']
2590,Pacific Rim,"['Captain America: Civil War', 'Resident Evil: Afterlife', 'Terminator Genisys']"
2592,Pain & Gain,"['2 Fast 2 Furious', '3000 Miles to Graceland', 'Bad Boys II', 'Batman', 'Big Mommas: Like Father, Like Son', 'Cellular', 'Kill Bill: Vol. 2', 'Need for Speed', 'RockNRolla', 'Snakes on a Plane', 'The Fast and the Furious', 'Trash']"
2593,Paint Your Wagon,"['All Hat', 'Batman', 'Blazing Saddles', 'Gunless', 'High School Musical', 'High School Musical 3: Senior Year', 'Love Me Tender', 'Så som i himmelen']"
2595,Palo Alto,"['Carrie', 'Dazed and Confused', 'High School Musical', 'High School Musical 3: Senior Year', 'The Diary of a Teenage Girl', 'The Runaways']"
2596,Pan,"['Aladdin', 'Alice in Wonderland', 'Arthur et les Minimoys', 'Ella Enchanted', 'Harry Potter and the Prisoner of Azkaban', 'In the Name of the King: A Dungeon Siege Tale', 'The Neverending Story']"
2598,Pandorum,"['Alien', 'Children of Men', 'Dylan Dog: Dead of Night', 'Mad Max: Fury Road', 'Minority Report', 'Serenity', 'Starship Troopers', 'The Matrix Reloaded', 'The Matrix Revolutions', 'They Live', 'Titan A.E.']"
2599,Panic Room,['Trash']
2600,Paparazzi,"['Class of 1984', 'Drive', 'Jimmy and Judy', 'Killing Zoe', 'Letters to God', 'Lone Survivor', 'The Matador']"
2601,Paper Towns,['High School Musical 3: Senior Year']
2603,Paranormal Activity 2,['Red Riding Hood']
2607,ParaNorman,['Aladdin']
2609,"Paris, je t'aime","['Autumn in New York', 'Enough Said', 'Step Up', 'Yentl']"
2611,Partition,"['Griff the Invisible', 'Out of the Blue']"
2612,Party Monster,['La grande bellezza']
2613,Passchendaele,"['Gods and Generals', 'Henry V']"
2615,Patch Adams,['Médecin de campagne']
2616,Pathology,"['Body Double', 'Trash']"
2617,Patriot Games,"['Collateral', 'Hitman', 'Lucky Number Slevin', 'Mercury Rising']"
2618,Patton,['Agora']
2619,Paul,['Aliens in the Attic']
2620,Paul Blart: Mall Cop,['Batman']
2621,Paul Blart: Mall Cop 2,"['Aladdin', 'Batman', 'The Blues Brothers']"
2622,Pay It Forward,"['Enough Said', 'Yentl']"
2623,Payback,['The Way of the Gun']
2624,Paycheck,"['Battleship', 'Final Fantasy: The Spirits Within', 'Knowing', 'Sky Captain and the World of Tomorrow', 'Southland Tales', 'The Day After Tomorrow']"
2628,Pearl Harbor,"['Aladdin', 'Dear John', 'From Here to Eternity', 'Saving Private Ryan', 'The English Patient', 'Top Gun']"
2630,Peggy Sue Got Married,"['Aladdin', 'Sliding Doors']"
2631,Penguins of Madagascar,['Aladdin']
2633,People I Know,"['Captive', 'Factory Girl', 'Trash']"
2635,Percy Jackson & the Olympians: The Lightning Thief,['Aladdin']
2636,Percy Jackson: Sea of Monsters,['Alice in Wonderland']
2638,Perfume: The Story of a Murderer,"['15 Minutes', 'Dancer in the Dark', 'Heavenly Creatures', 'The Postman Always Rings Twice', 'Trash', 'Very Bad Things']"
2639,Perrier’s Bounty,['Batman']
2641,Pet Sematary,"['Last Orders', 'The Upside of Anger']"
2642,Pete's Dragon,"['Aladdin', 'Aliens in the Attic', 'The Jungle Book']"
2643,Phantasm II,"['Alien Zone', 'Aliens', 'Batman', 'Dylan Dog: Dead of Night', 'G.I. Joe: The Rise of Cobra', 'Lake Placid', 'Pandorum', ""The Devil's Tomb"", 'The Last Days on Mars', 'They Live']"
2644,Phat Girlz,['Aladdin']
2645,Phenomenon,"['Batman', 'Fetching Cody', 'Somewhere in Time', 'The Fountain', ""The Time Traveler's Wife"", 'Tuck Everlasting']"
