"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-23","43","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-24","40","33"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-25","57","33"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-26","56","29"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-27","44","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-28","54","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-01","38","22"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-02","33","25"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-03","46","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-04","60","30"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-05","46","36"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-06","59","40"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-07","54","43"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-08","51","30"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-09","33","27"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-10","36","18"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-11","29","12"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-12","38","14"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-13","48","24"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-14","36","28"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-15","39","35"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-16","48","27"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-17","35","12"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-18","32","9"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-19","44","12"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-20","35","25"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-21","45","22"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-22","48","14"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-23","40","29"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-24","36","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-25","38","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-26","47","28"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-27","58","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-28","69","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-29","70","41"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-30","55","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-03-31","47","21"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-01","43","24"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-02","38","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-03","37","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-04","41","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-05","46","28"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-06","50","34"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-07","46","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-08","45","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-09","46","22"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-10","50","27"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-11","39","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-12","46","29"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-13","53","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-14","42","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-15","56","37"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-16","65","38"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-17","48","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-18","51","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-19","48","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-20","51","28"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-21","61","28"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-22","63","33"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-23","70","44"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-24","67","46"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-25","76","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-26","71","57"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-27","61","35"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-28","62","38"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-29","59","36"
"USC00365817","MILLVILLE 2 SW, PA US","1961-04-30","54","30"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-01","57","34"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-02","55","38"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-03","54","38"
